receiver_station,donor_station,distance_km,suggested_bikes_to_move
ROYAL HOSPITAL,HEUSTON BRIDGE (SOUTH),0.4881874974622084,12
FITZWILLIAM SQUARE EAST,BARROW STREET,0.9989317483444446,12
GRANGEGORMAN LOWER (SOUTH),JERVIS STREET,1.0668404129618558,12
ECCLES STREET EAST,CUSTOM HOUSE QUAY,1.628323576525717,8
WILTON TERRACE (PARK),BARROW STREET,0.9262880813037335,7
GRANGEGORMAN LOWER (CENTRAL),HEUSTON BRIDGE (SOUTH),1.273377191828015,7
GOLDEN LANE,CUSTOM HOUSE QUAY,1.5255878843363462,6
BLESSINGTON STREET,CUSTOM HOUSE QUAY,1.659636675125682,6
GRANGEGORMAN LOWER (CENTRAL),JERVIS STREET,1.0930030210966197,5
WILTON TERRACE (PARK),CUSTOM HOUSE QUAY,1.582537842132701,5
PARNELL SQUARE NORTH,HEUSTON BRIDGE (SOUTH),1.9221286104557305,4
PARNELL SQUARE NORTH,CUSTOM HOUSE QUAY,1.3174435361624772,1
